Month,CountyFIPS,CountyName,Nielsen HH Rank,Hotness Rank Within CBSA,CBSACode,CBSATitle,Hotness Rank ,Hotness Rank M/M,Hotness Rank Y/Y,Hotness Score,Supply Score,Demand Score,Median DOM,Median DOM M/M,Median DOM M/M Perc,Median DOM Y/Y,Median DOM Y/Y Perc,Median DOM (vs US),Median DOM (vs CBSA),Views Per Property M/M,Views Per Property Y/Y,Views Per Property  (vs US),Views Per Property  (vs CBSA),Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Median Listing Price  (vs US),Median Listing Price  (vs CBSA),Quality Flag
201812,38017,"Cass, ND",334,1,22020,"Fargo, ND-MN",719,6,13,32.582583,43.7437437437437,21.4214214214214,86.00,11.50,0.1544,-8.00,-0.0851,6.00,-1.00,0.0602,0.1892,0.7213,1.0000,259900.000000,0.0017,-0.0302,0.8993,1.0400,0
201812,36079,"Putnam, NY",640,13,35620,"New York-Newark-Jersey City, NY-NJ-PA",590,-1,-50,43.243243,25.025025025025,61.4614614614615,100.00,12.00,0.1364,0.00,0.0000,20.00,16.00,0.0370,0.1290,1.1475,1.3725,439999.500000,0.0001,0.0501,1.5225,0.8383,0
201812,01045,"Dale, AL",949,1,37120,"Ozark, AL",820,16,42,23.173173,43.7437437437437,2.6026026026026,86.00,7.00,0.0886,-7.00,-0.0753,6.00,-1.00,-0.0189,0.4444,0.4262,1.0400,118000.000000,0.0288,0.0261,0.4083,0.9962,0
201812,18141,"St. Joseph, IN",253,1,43780,"South Bend-Mishawaka, IN-MI",145,72,140,79.079079,73.7737737737738,84.3843843843844,69.50,3.50,0.0530,-8.50,-0.1090,-10.50,-8.50,-0.0055,0.3235,1.4754,1.1250,139900.000000,0.0014,0.2718,0.4841,0.9330,0
201812,55027,"Dodge, WI",655,1,13180,"Beaver Dam, WI",541,-107,-26,46.746747,42.3423423423423,51.1511511511512,87.00,16.00,0.2254,1.00,0.0116,7.00,-2.00,-0.0677,0.1698,1.0164,1.0508,178950.000000,0.0015,0.1758,0.6192,1.0374,0
201812,17179,"Tazewell, IL",449,1,37900,"Peoria, IL",419,4,74,56.356356,53.953953953954,58.7587587587588,79.00,7.00,0.0972,-5.00,-0.0595,-1.00,-10.00,-0.0073,0.2830,1.1148,1.2830,132200.000000,-0.0204,-0.0550,0.4574,1.0177,0
201812,55035,"Eau Claire, WI",564,1,20740,"Eau Claire, WI",404,-127,29,57.557558,49.94994994995,65.1651651651652,82.00,18.50,0.2913,-7.00,-0.0787,2.00,-7.00,-0.0267,0.1231,1.1967,1.1231,234900.000000,0.0271,0.1191,0.8128,1.0311,0
201812,22115,"Vernon, LA",970,1,22860,"Fort Polk South, LA",849,-29,-103,20.07007,38.8388388388388,1.3013013013013,89.00,13.50,0.1788,9.00,0.1125,9.00,0.00,-0.0980,0.2105,0.3770,1.0000,149950.000000,0.0390,-0.1101,0.5189,1.0000,0
201812,51061,"Fauquier, VA",813,14,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",561,-85,-24,44.794795,40.5405405405405,49.049049049049,88.00,10.25,0.1318,-8.00,-0.0833,8.00,24.00,-0.1348,0.0167,1.0000,0.9242,463450.000000,-0.0112,-0.0033,1.6036,1.1035,0
201812,38101,"Ward, ND",729,1,33500,"Minot, ND",895,-15,-70,14.914915,21.2212212212212,8.60860860860861,102.00,12.50,0.1397,5.00,0.0515,22.00,0.00,0.0476,0.0645,0.5410,1.0645,209900.000000,-0.0226,-0.0212,0.7263,1.0500,0
201812,55039,"Fond du Lac, WI",560,1,22540,"Fond du Lac, WI",716,-53,-25,32.782783,40.5405405405405,25.025025025025,88.00,16.75,0.2351,2.00,0.0233,8.00,1.00,0.0805,0.3056,0.7705,0.9592,144900.000000,-0.0019,-0.0334,0.5014,1.0000,0
201812,27163,"Washington, MN",268,5,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",369,-56,-113,59.80981,66.5665665665666,53.0530530530531,73.00,15.50,0.2696,-1.00,-0.0135,-7.00,8.00,0.0080,-0.0597,1.0328,0.8750,424990.000000,0.0366,0.0443,1.4706,1.2503,0
201812,53025,"Grant, WA",677,1,34180,"Moses Lake, WA",883,-28,-67,16.166166,28.9289289289289,3.4034034034034,96.00,14.25,0.1743,8.00,0.0909,16.00,0.00,0.0800,0.2857,0.4426,1.0000,239900.000000,-0.0198,0.0271,0.8301,1.0000,0
201812,48479,"Webb, TX",341,1,29700,"Laredo, TX",323,147,80,64.364364,63.3633633633634,65.3653653653654,74.00,-4.50,-0.0573,-9.00,-0.1084,-6.00,0.00,0.0210,0.1587,1.1967,1.0000,175000.000000,-0.0141,-0.0272,0.6055,1.0000,0
201812,47059,"Greene, TN",756,1,24620,"Greeneville, TN",506,41,131,49.94995,33.5335335335335,66.3663663663664,93.00,4.25,0.0479,-8.00,-0.0792,13.00,-1.00,0.0207,0.4231,1.2131,1.0278,165900.000000,-0.0224,-0.0520,0.5740,0.9765,0
201812,27171,"Wright, MN",501,9,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",411,-15,-112,56.956957,69.2692692692693,44.6446446446446,72.00,11.50,0.1901,0.00,0.0000,-8.00,7.00,-0.0169,0.0000,0.9508,0.8056,298900.000000,0.0049,0.0310,1.0343,0.8794,0
