CityName,Status,State(s),1990Population,2000Population,2010Population,2017EstPopulation
Newport,Micropolitan Statistical Area,TN,"29,141","33,548","35,642","35,556"
New Ulm,Micropolitan Statistical Area,MN,"26,984","26,916","25,893","25,194"
New York - Newark - Jersey City,Metropolitan Statistical Area,NY-NJ-PA,"16,863,671","18,324,459","18,896,205","19,643,082"
Niles,Metropolitan Statistical Area,MI,"161,378","162,491","156,817","154,259"
Nogales,Micropolitan Statistical Area,AZ,"29,676","38,381","47,423","46,212"
Norfolk,Micropolitan Statistical Area,NE,"46,726","49,550","48,270","48,270"
North Platte,Micropolitan Statistical Area,NE,"33,932","35,937","37,590","36,547"
North Port - Sarasota - Bradenton,Metropolitan Statistical Area,FL,"489,483","589,998","702,313","804,690"
North Vernon,Micropolitan Statistical Area,IN,"23,661","27,561","28,529","27,626"
North Wilkesboro,Micropolitan Statistical Area,NC,"59,393","65,630","69,303","68,576"
Norwalk,Micropolitan Statistical Area,OH,"56,238","59,447","59,625","58,494"
Norwich - New London (Southeastern Connecticut),Metropolitan Statistical Area,CT,"254,957","259,108","274,059","269,033"
Oak Harbor,Micropolitan Statistical Area,WA,"60,195","71,571","78,506","83,159"
Ocala,Metropolitan Statistical Area,FL,"194,835","258,873","331,301","354,353"
Ocean City,Metropolitan Statistical Area,NJ,"95,089","102,323","97,265","93,553"
Odessa,Metropolitan Statistical Area,TX,"118,934","121,124","137,136","157,087"
Ogden - Clearfield,Metropolitan Statistical Area,UT,"388,284","485,410","597,159","665,358"
Ogdensburg - Massena,Micropolitan Statistical Area,NY,"111,974","111,922","111,941","109,623"
Oil City,Micropolitan Statistical Area,PA,"59,381","57,500","54,983","51,762"
Okeechobee,Micropolitan Statistical Area,FL,"29,627","35,869","39,996","41,605"
Oklahoma City,Metropolitan Statistical Area,OK,"971,042","1,095,553","1,252,991","1,383,737"
Olean,Micropolitan Statistical Area,NY,"84,234","83,874","80,343","77,348"
Olympia - Lacey - Tumwater,Metropolitan Statistical Area,WA,"161,238","207,392","252,260","280,588"
Omaha - Council Bluffs,Metropolitan Statistical Area,NE-IA,"685,797","767,175","865,356","933,316"
Oneonta,Micropolitan Statistical Area,NY,"60,390","61,692","62,272","60,094"
Ontario,Micropolitan Statistical Area,OR-ID,"42,472","52,202","53,934","53,695"
Opelousas,Micropolitan Statistical Area,LA,"80,312","87,662","83,387","83,497"
Orangeburg,Micropolitan Statistical Area,SC,"84,804","91,511","92,495","87,476"
Orlando - Kissimmee - Sanford,Metropolitan Statistical Area,FL,"1,224,844","1,644,509","2,134,399","2,509,831"
Oshkosh - Neenah,Metropolitan Statistical Area,WI,"140,320","156,752","166,994","170,414"
Oskaloosa,Micropolitan Statistical Area,IA,"21,532","22,319","22,381","22,235"
Othello,Micropolitan Statistical Area,WA,"13,603","16,426","18,728","19,506"
Ottawa,Micropolitan Statistical Area,IL,"148,331","153,172","154,899","149,037"
Ottawa,Micropolitan Statistical Area,KS,"21,994","24,784","25,996","25,733"
Ottumwa,Micropolitan Statistical Area,IA,"35,696","36,067","35,625","35,044"
Owatonna,Micropolitan Statistical Area,MN,"30,729","33,684","36,576","36,887"
Owensboro,Metropolitan Statistical Area,KY,"104,681","109,879","114,754","118,376"
Oxford,Micropolitan Statistical Area,MS,"31,826","38,687","47,359","54,374"
Oxnard - Thousand Oaks - Ventura,Metropolitan Statistical Area,CA,"669,016","753,230","823,391","854,223"
Ozark,Micropolitan Statistical Area,AL,"49,633","49,120","50,247","49,226"
