CityName,Status,State(s),1990Population,2000Population,2010Population,2017EstPopulation
Aberdeen,Micropolitan Statistical Area,SD,"39,936","39,835","40,602","43,097"
Aberdeen,Micropolitan Statistical Area,WA,"64,175","67,141","72,804","72,697"
Abilene,Metropolitan Statistical Area,TX,"148,004","160,273","165,248","170,219"
Ada,Micropolitan Statistical Area,OK,"34,119","35,146","37,492","38,224"
Adrian,Micropolitan Statistical Area,MI,"91,476","98,970","99,892","98,623"
Aguadilla - Isabela,Metropolitan Statistical Area,PR,"307,560","347,938","339,465","302,615"
Akron,Metropolitan Statistical Area,OH,"657,575","694,975","703,203","703,505"
Alamogordo,Micropolitan Statistical Area,NM,"51,928","62,195","63,817","65,817"
Albany,Metropolitan Statistical Area,GA,"142,968","153,825","154,049","148,234"
Albany - Lebanon,Metropolitan Statistical Area,OR,"91,227","103,079","116,672","125,047"
Albany - Schenectady - Troy (Capital District),Metropolitan Statistical Area,NY,"809,642","825,920","870,720","886,188"
Albemarle,Micropolitan Statistical Area,NC,"51,765","58,092","60,586","61,482"
Albert Lea,Micropolitan Statistical Area,MN,"33,060","32,584","31,255","30,535"
Albertville,Micropolitan Statistical Area,AL,"70,832","82,303","93,019","95,548"
Albuquerque,Metropolitan Statistical Area,NM,"599,416","729,729","887,061","910,726"
Alexander City,Micropolitan Statistical Area,AL,"49,889","53,613","53,376","51,435"
Alexandria,Metropolitan Statistical Area,LA,"149,082","145,087","153,922","153,984"
Alexandria,Micropolitan Statistical Area,MN,"28,674","32,808","36,009","37,575"
Alice,Micropolitan Statistical Area,TX,"50,597","52,417","52,620","52,144"
Allentown - Bethlehem - Easton (Lehigh Valley),Metropolitan Statistical Area,PA-NJ,"686,718","740,340","821,272","840,550"
Alma,Micropolitan Statistical Area,MI,"38,982","42,289","42,476","41,018"
Alpena,Micropolitan Statistical Area,MI,"30,605","31,297","29,598","28,462"
Altoona,Metropolitan Statistical Area,PA,"130,542","129,105","127,076","123,457"
Altus,Micropolitan Statistical Area,OK,"28,764","28,439","26,446","25,125"
Amarillo,Metropolitan Statistical Area,TX,"198,389","228,670","251,933","264,925"
Americus,Micropolitan Statistical Area,GA,"33,822","36,988","37,827","35,060"
Ames,Metropolitan Statistical Area,IA,"99,438","106,194","115,848","123,986"
Amsterdam,Micropolitan Statistical Area,NY,"51,981","49,637","50,256","49,258"
Anchorage,Metropolitan Statistical Area,AK,"266,021","319,617","380,821","400,888"
Andrews,Micropolitan Statistical Area,TX,"14,338","13,002","14,786","17,722"
Angola,Micropolitan Statistical Area,IN,"27,446","33,233","34,183","34,484"
Ann Arbor,Metropolitan Statistical Area,MI,"282,937","322,818","345,066","367,627"
Anniston - Oxford,Metropolitan Statistical Area,AL,"116,032","111,882","118,586","114,728"
Appleton,Metropolitan Statistical Area,WI,"174,801","201,773","225,666","236,126"
Arcadia,Micropolitan Statistical Area,FL,"23,865","32,204","34,862","36,862"
Ardmore,Micropolitan Statistical Area,OK,"50,707","54,440","57,147","58,224"
Arecibo,Metropolitan Statistical Area,PR,"176,430","199,750","199,471","181,643"
Arkadelphia,Micropolitan Statistical Area,AR,"21,437","23,541","22,993","22,293"
Asheville,Metropolitan Statistical Area,NC,"308,005","369,186","424,856","456,145"
Ashland,Micropolitan Statistical Area,OH,"47,507","52,516","53,139","53,628"
Ashtabula,Micropolitan Statistical Area,OH,"99,880","102,681","101,488","97,807"
Astoria,Micropolitan Statistical Area,OR,"33,301","35,634","37,029","39,182"
Atchison,Micropolitan Statistical Area,KS,"16,932","16,787","16,921","16,332"
Athens,Micropolitan Statistical Area,OH,"59,549","62,193","64,764","66,597"
Athens,Micropolitan Statistical Area,TN,"42,383","49,011","52,278","52,877"
Athens,Micropolitan Statistical Area,TX,"58,543","73,105","78,534","81,064"
Athens - Clarke County,Metropolitan Statistical Area,GA,"136,025","166,028","192,564","209,271"
Atlanta - Sandy Springs - Alpharetta,Metropolitan Statistical Area,GA,"3,081,858","4,263,135","5,286,743","5,884,736"
Atlantic City - Hammonton,Metropolitan Statistical Area,NJ,"224,327","253,210","274,540","269,918"
Atmore,Micropolitan Statistical Area,AL,"35,518","38,452","38,319","37,447"
Auburn,Micropolitan Statistical Area,IN,"35,324","40,303","42,219","42,836"
Auburn,Micropolitan Statistical Area,NY,"82,313","81,910","80,003","77,603"
Auburn - Opelika,Metropolitan Statistical Area,AL,"87,146","115,014","140,296","161,604"
Augusta - Richmond County,Metropolitan Statistical Area,GA-SC,"443,241","508,041","564,873","600,151"
Augusta - Waterville,Micropolitan Statistical Area,ME,"115,904","117,074","122,151","121,821"
Austin,Micropolitan Statistical Area,MN,"37,385","38,604","39,163","39,566"
Austin - Round Rock - Georgetown,Metropolitan Statistical Area,TX,"846,227","1,249,963","1,716,320","2,115,827"
Bainbridge,Micropolitan Statistical Area,GA,"25,517","28,252","27,842","26,716"
Bakersfield,Metropolitan Statistical Area,CA,"544,981","661,632","839,621","893,119"
Baltimore - Columbia - Towson,Metropolitan Statistical Area,MD,"2,382,172","2,553,137","2,710,603","2,808,175"
Bangor,Metropolitan Statistical Area,ME,"146,601","144,866","153,920","151,957"
Baraboo,Micropolitan Statistical Area,WI,"46,975","55,187","61,976","63,981"
Bardstown,Micropolitan Statistical Area,KY,"29,710","37,487","43,437","45,640"
Barnstable Town,Metropolitan Statistical Area,MA,"186,605","222,239","215,868","213,444"
Barre,Micropolitan Statistical Area,VT,"54,928","58,034","59,526","58,290"
Bartlesville,Micropolitan Statistical Area,OK,"48,066","49,015","50,974","51,932"
Batavia,Micropolitan Statistical Area,NY,"60,060","60,548","59,944","57,956"
Batesville,Micropolitan Statistical Area,AR,"45,301","51,366","53,906","54,897"
Baton Rouge,Metropolitan Statistical Area,LA,"646,603","729,465","825,917","856,685"
Battle Creek,Metropolitan Statistical Area,MI,"135,982","137,991","136,148","134,128"
Bay City,Metropolitan Statistical Area,MI,"111,723","110,271","107,771","104,239"
Bay City,Micropolitan Statistical Area,TX,"36,928","37,919","36,702","36,840"
Beatrice,Micropolitan Statistical Area,NE,"22,794","22,992","22,311","21,601"
Beaumont - Port Arthur,Metropolitan Statistical Area,TX,"361,218","385,076","388,749","398,485"
Beaver Dam,Micropolitan Statistical Area,WI,"76,559","85,851","88,770","87,786"
Beckley,Metropolitan Statistical Area,WV,"124,771","126,828","124,913","118,543"
Bedford,Micropolitan Statistical Area,IN,"42,836","45,912","46,129","45,666"
Beeville,Micropolitan Statistical Area,TX,"25,135","32,347","31,861","32,563"
Bellefontaine,Micropolitan Statistical Area,OH,"42,310","46,002","45,854","45,325"
Bellingham,Metropolitan Statistical Area,WA,"127,780","166,822","201,145","221,404"
Bemidji,Micropolitan Statistical Area,MN,"34,384","39,638","44,442","46,513"
Bend,Metropolitan Statistical Area,OR,"74,976","115,372","157,733","186,875"
Bennettsville,Micropolitan Statistical Area,SC,"29,716","28,820","28,933","26,825"
Bennington,Micropolitan Statistical Area,VT,"35,845","36,969","37,125","35,594"
Berlin,Micropolitan Statistical Area,NH,"34,828","33,089","33,052","31,634"
Big Rapids,Micropolitan Statistical Area,MI,"37,308","40,547","42,798","43,391"
Big Spring,Micropolitan Statistical Area,TX,"32,343","33,630","35,012","36,040"
Big Stone Gap,Micropolitan Statistical Area,VA,"43,820","46,098","45,430","42,522"
Billings,Metropolitan Statistical Area,MT,"128,035","147,113","167,167","179,095"
Binghamton,Metropolitan Statistical Area,NY,"264,497","252,298","251,737","242,217"
Birmingham - Hoover,Metropolitan Statistical Area,AL,"888,998","980,652","1,061,033","1,085,749"
Bismarck,Metropolitan Statistical Area,ND,"86,212","96,766","110,625","127,766"
Blackfoot,Micropolitan Statistical Area,ID,"37,583","41,737","45,607","45,927"
Blacksburg - Christiansburg,Metropolitan Statistical Area,VA,"140,715","151,321","162,961","167,238"
Bloomington,Metropolitan Statistical Area,IL,"129,180","150,384","169,572","172,290"
Bloomington,Metropolitan Statistical Area,IN,"126,259","142,342","159,541","167,825"
Bloomsburg - Berwick,Metropolitan Statistical Area,PA,"80,937","82,181","85,563","84,204"
Bluefield,Micropolitan Statistical Area,WV-VA,"117,454","114,446","114,162","107,198"
Blytheville,Micropolitan Statistical Area,AR,"57,525","51,999","46,480","42,159"
Bogalusa,Micropolitan Statistical Area,LA,"43,185","43,943","47,171","46,633"
Boise City,Metropolitan Statistical Area,ID,"319,596","464,872","616,568","709,845"
Bonham,Micropolitan Statistical Area,TX,"24,804","31,225","33,910","34,446"
Boone,Micropolitan Statistical Area,NC,"36,952","42,684","51,064","55,121"
Borger,Micropolitan Statistical Area,TX,"25,689","23,864","22,249","21,375"
Boston - Cambridge - Newton,Metropolitan Statistical Area,MA-NH,"4,133,895","4,392,533","4,552,596","4,836,531"
Boulder,Metropolitan Statistical Area,CO,"225,339","269,784","294,572","322,514"
Bowling Green,Metropolitan Statistical Area,KY,"113,950","134,951","158,599","174,835"
Bozeman,Micropolitan Statistical Area,MT,"50,484","67,837","89,513","107,810"
Bradford,Micropolitan Statistical Area,PA,"47,131","45,908","43,450","41,330"
Brainerd,Micropolitan Statistical Area,MN,"66,040","82,133","91,067","93,779"
Branson,Micropolitan Statistical Area,MO,"25,561","39,776","51,674","55,355"
Breckenridge,Micropolitan Statistical Area,CO,"12,881","23,560","27,994","30,585"
Bremerton - Silverdale - Port Orchard,Metropolitan Statistical Area,WA,"189,731","231,982","251,137","266,414"
Brenham,Micropolitan Statistical Area,TX,"26,154","30,412","33,700","35,043"
Brevard,Micropolitan Statistical Area,NC,"25,520","29,316","33,087","33,956"
Bridgeport - Stamford - Norwalk,Metropolitan Statistical Area,CT,"827,645","882,622","916,846","949,921"
Brookhaven,Micropolitan Statistical Area,MS,"30,278","33,191","34,869","34,347"
Brookings,Micropolitan Statistical Area,OR,"19,327","21,147","22,364","22,669"
Brookings,Micropolitan Statistical Area,SD,"25,207","28,233","31,962","34,255"
Brownsville,Micropolitan Statistical Area,TN,"19,437","19,790","18,807","17,573"
Brownsville - Harlingen,Metropolitan Statistical Area,TX,"260,120","334,884","406,219","423,725"
Brownwood,Micropolitan Statistical Area,TX,"34,371","37,668","38,106","38,053"
Brunswick,Metropolitan Statistical Area,GA,"82,207","93,027","112,368","118,119"
Bucyrus - Galion,Micropolitan Statistical Area,OH,"47,870","46,909","43,785","41,746"
Buffalo - Cheektowaga,Metropolitan Statistical Area,NY,"1,189,340","1,170,022","1,135,617","1,136,856"
Burley,Micropolitan Statistical Area,ID,"38,893","41,554","43,021","44,393"
Burlington,Micropolitan Statistical Area,IA-IL,"50,710","50,535","47,653","46,212"
Burlington,Metropolitan Statistical Area,NC,"108,213","130,750","151,198","162,391"
Burlington - South Burlington,Metropolitan Statistical Area,VT,"177,059","198,895","211,262","218,395"
Butte - Silver Bow,Micropolitan Statistical Area,MT,"33,941","34,625","34,209","34,602"
Cadillac,Micropolitan Statistical Area,MI,"38,507","44,948","47,584","48,274"
Calhoun,Micropolitan Statistical Area,GA,"35,067","44,090","55,186","57,089"
California - Lexington Park,Metropolitan Statistical Area,MD,"75,974","86,196","105,148","112,667"
Cambridge,Micropolitan Statistical Area,MD,"30,236","30,671","32,618","32,162"
Cambridge,Micropolitan Statistical Area,OH,"39,024","40,813","40,091","39,093"
Camden,Micropolitan Statistical Area,AR,"36,400","34,507","31,489","29,115"
Campbellsville,Micropolitan Statistical Area,KY,"31,517","34,388","35,772","36,537"
Cañon City,Micropolitan Statistical Area,CO,"32,273","46,140","46,824","47,559"
Canton - Massillon,Metropolitan Statistical Area,OH,"394,106","406,966","404,428","399,927"
Cape Coral - Fort Myers,Metropolitan Statistical Area,FL,"335,113","440,910","618,754","739,224"
Cape Girardeau,Metropolitan Statistical Area,MO-IL,"82,878","90,286","96,275","96,782"
Carbondale - Marion,Metropolitan Statistical Area,IL,"130,147","133,784","139,162","138,512"
Carlsbad - Artesia,Micropolitan Statistical Area,NM,"48,605","51,633","53,829","56,997"
Carroll,Micropolitan Statistical Area,IA,"21,423","21,433","20,816","20,320"
Carson City,Metropolitan Statistical Area,NV,"40,443","52,477","55,274","54,745"
Casper,Metropolitan Statistical Area,WY,"61,226","66,541","75,450","79,547"
Cedar City,Micropolitan Statistical Area,UT,"20,789","33,793","46,163","51,001"
Cedar Rapids,Metropolitan Statistical Area,IA,"210,640","237,267","257,941","270,293"
Cedartown,Micropolitan Statistical Area,GA,"33,815","38,102","41,475","42,085"
Celina,Micropolitan Statistical Area,OH,"39,443","40,936","40,814","40,873"
Central City,Micropolitan Statistical Area,KY,"31,318","31,845","31,499","30,816"
Centralia,Micropolitan Statistical Area,IL,"41,561","41,678","39,437","37,902"
Centralia,Micropolitan Statistical Area,WA,"59,358","68,585","75,457","78,200"
Chambersburg - Waynesboro,Metropolitan Statistical Area,PA,"121,082","129,495","149,618","154,234"
Champaign - Urbana,Metropolitan Statistical Area,IL,"188,573","196,072","217,808","225,844"
Charleston,Metropolitan Statistical Area,WV,"290,792","286,104","277,992","264,207"
Charleston - Mattoon,Micropolitan Statistical Area,IL,"62,314","64,521","64,921","62,887"
Charleston - North Charleston,Metropolitan Statistical Area,SC,"506,877","549,021","664,644","775,831"
Charlotte - Concord - Gastonia,Metropolitan Statistical Area,NC-SC,"1,364,911","1,742,915","2,243,920","2,550,296"
Charlottesville,Metropolitan Statistical Area,VA,"144,151","173,987","201,567","216,728"
Chattanooga,Metropolitan Statistical Area,TN-GA,"433,039","476,611","528,152","556,548"
Cheyenne,Metropolitan Statistical Area,WY,"73,142","81,617","91,881","98,327"
Chicago - Naperville - Elgin,Metropolitan Statistical Area,IL-IN-WI,"8,181,939","9,098,970","9,461,541","9,533,040"
Chico,Metropolitan Statistical Area,CA,"182,120","203,125","220,002","229,294"
Chillicothe,Micropolitan Statistical Area,OH,"69,330","73,382","78,065","77,313"
Cincinnati,Metropolitan Statistical Area,OH-KY-IN,"1,851,864","2,017,005","2,137,781","2,201,701"
Clarksburg,Micropolitan Statistical Area,WV,"91,509","92,061","94,196","93,301"
Clarksdale,Micropolitan Statistical Area,MS,"31,665","30,617","26,145","23,154"
Clarksville,Metropolitan Statistical Area,TN-KY,"189,279","232,096","273,948","298,397"
Clearlake,Micropolitan Statistical Area,CA,"50,631","58,331","64,665","64,246"
Cleveland,Micropolitan Statistical Area,MS,"41,875","40,619","34,148","31,945"
Cleveland,Metropolitan Statistical Area,TN,"87,355","104,012","115,758","122,317"
Cleveland - Elyria,Metropolitan Statistical Area,OH,"2,102,207","2,148,041","2,077,271","2,058,844"
Clewiston,Micropolitan Statistical Area,FL,"25,773","36,184","39,140","40,347"
Clinton,Micropolitan Statistical Area,IA,"51,040","50,159","49,116","47,010"
Clovis,Micropolitan Statistical Area,NM,"42,207","45,050","48,376","49,812"
Coamo,Micropolitan Statistical Area,PR,"33,837","37,597","40,512","39,071"
Coco (Salinas),Micropolitan Statistical Area,PR,"28,335","31,113","31,078","28,216"
Coeur d'Alene,Metropolitan Statistical Area,ID,"69,795","108,682","138,464","157,637"
Coffeyville,Micropolitan Statistical Area,KS,"38,816","36,267","35,468","32,556"
Coldwater,Micropolitan Statistical Area,MI,"41,502","45,781","45,248","43,410"
College Station - Bryan,Metropolitan Statistical Area,TX,"150,998","184,857","228,668","258,044"
Colorado Springs,Metropolitan Statistical Area,CO,"409,482","537,475","645,615","723,878"
Columbia,Metropolitan Statistical Area,MO,"136,845","162,353","190,392","206,054"
Columbia,Metropolitan Statistical Area,SC,"548,935","647,216","767,476","825,033"
Columbus,Metropolitan Statistical Area,GA-AL,"278,630","293,644","308,452","316,045"
Columbus,Metropolitan Statistical Area,IN,"63,657","71,467","76,786","82,040"
Columbus,Micropolitan Statistical Area,MS,"59,308","61,596","59,779","59,186"
Columbus,Micropolitan Statistical Area,NE,"29,820","31,574","32,237","33,175"
Columbus,Metropolitan Statistical Area,OH,"1,462,268","1,675,226","1,902,001","2,078,725"
Concord,Micropolitan Statistical Area,NH,"120,240","136,264","146,447","149,216"
Connersville,Micropolitan Statistical Area,IN,"26,015","25,591","24,302","23,209"
Cookeville,Micropolitan Statistical Area,TN,"78,306","93,426","106,063","111,363"
Coos Bay,Micropolitan Statistical Area,OR,"60,273","62,795","63,043","63,888"
Cordele,Micropolitan Statistical Area,GA,"20,011","22,020","23,439","22,736"
Corinth,Micropolitan Statistical Area,MS,"31,722","34,519","37,057","37,210"
Cornelia,Micropolitan Statistical Area,GA,"27,622","35,884","43,041","44,567"
Corning,Micropolitan Statistical Area,NY,"99,088","98,681","98,986","96,281"
Corpus Christi,Metropolitan Statistical Area,TX,"349,894","380,785","405,030","428,436"
Corsicana,Micropolitan Statistical Area,TX,"39,926","45,113","47,840","48,701"
Cortland,Micropolitan Statistical Area,NY,"48,963","48,704","49,285","47,786"
Corvallis,Metropolitan Statistical Area,OR,"70,811","78,143","85,592","90,951"
Coshocton,Micropolitan Statistical Area,OH,"35,427","36,654","36,898","36,544"
Craig,Micropolitan Statistical Area,CO,"11,357","13,178","13,795","13,131"
Crawfordsville,Micropolitan Statistical Area,IN,"34,436","37,629","38,121","38,525"
Crescent City,Micropolitan Statistical Area,CA,"23,460","27,505","28,610","27,470"
Crestview - Fort Walton Beach - Destin,Metropolitan Statistical Area,FL,"171,536","211,081","235,865","271,346"
Crossville,Micropolitan Statistical Area,TN,"34,736","46,781","56,062","59,078"
Cullman,Micropolitan Statistical Area,AL,"67,613","77,426","80,410","82,755"
Cullowhee,Micropolitan Statistical Area,NC,"38,103","46,083","54,257","57,267"
Cumberland,Metropolitan Statistical Area,MD-WV,"101,643","101,995","103,261","98,837"
Dallas - Fort Worth - Arlington,Metropolitan Statistical Area,TX,"3,984,437","5,156,727","6,366,572","7,332,544"
Dalton,Metropolitan Statistical Area,GA,"98,609","120,062","142,227","144,440"
Danville,Metropolitan Statistical Area,IL,"88,257","83,929","81,625","77,909"
Danville,Micropolitan Statistical Area,KY,"45,686","51,001","53,170","54,380"
Danville,Micropolitan Statistical Area,VA,"108,728","110,102","106,550","102,388"
Daphne - Fairhope - Foley,Metropolitan Statistical Area,AL,"98,280","140,416","182,265","212,628"
Davenport - Moline - Rock Island (Quad Cities),Metropolitan Statistical Area,IA-IL,"368,145","376,067","379,689","382,263"
Dayton,Micropolitan Statistical Area,TN,"24,344","28,398","31,802","32,691"
Dayton - Kettering,x,OH,"803,724","805,971","799,251","803,416"
Decatur,Metropolitan Statistical Area,AL,"131,556","145,910","153,825","151,867"
Decatur,Metropolitan Statistical Area,IL,"117,206","114,690","110,768","105,801"
Decatur,Micropolitan Statistical Area,IN,"31,095","33,605","34,387","35,491"
Defiance,Micropolitan Statistical Area,OH,"39,350","39,502","39,031","38,156"
Del Rio,Micropolitan Statistical Area,TX,"38,721","44,834","48,879","49,205"
Deltona - Daytona Beach - Ormond Beach,Metropolitan Statistical Area,FL,"399,438","493,203","590,294","649,202"
Deming,Micropolitan Statistical Area,NM,"18,110","24,986","25,096","24,078"
Denver - Aurora - Lakewood,Metropolitan Statistical Area,CO,"1,650,489","2,179,476","2,543,592","2,888,227"
DeRidder,Micropolitan Statistical Area,LA,"30,083","32,948","35,654","36,928"
Des Moines - West Des Moines,Metropolitan Statistical Area,IA,"451,141","518,628","606,475","682,877"
Detroit - Warren - Dearborn,Metropolitan Statistical Area,MI,"4,248,699","4,452,778","4,296,317","4,313,002"
Dickinson,Micropolitan Statistical Area,ND,"23,940","23,523","24,982","31,149"
Dixon,Micropolitan Statistical Area,IL,"34,392","36,062","36,031","34,406"
Dodge City,Micropolitan Statistical Area,KS,"27,463","32,452","33,848","34,381"
Dothan,Metropolitan Statistical Area,AL,"120,352","130,828","145,643","147,914"
Douglas,Micropolitan Statistical Area,GA,"35,805","45,032","50,738","51,356"
Dover,Metropolitan Statistical Area,DE,"110,993","126,771","162,349","176,824"
Dublin,Micropolitan Statistical Area,GA,"54,311","60,223","65,299","63,858"
DuBois,Micropolitan Statistical Area,PA,"78,097","83,529","81,594","79,685"
Dubuque,Metropolitan Statistical Area,IA,"86,403","89,133","93,653","97,041"
Duluth,Metropolitan Statistical Area,MN-WI,"279,664","286,632","290,637","289,306"
Dumas,Micropolitan Statistical Area,TX,"17,865","20,123","21,904","22,097"
Duncan,Micropolitan Statistical Area,OK,"42,299","43,204","45,048","43,332"
Durango,Micropolitan Statistical Area,CO,"32,284","43,957","51,335","55,589"
Durant,Micropolitan Statistical Area,OK,"32,089","36,524","42,416","46,319"
Durham - Chapel Hill (Research Triangle),Metropolitan Statistical Area,NC,"383,006","472,344","564,145","626,985"
Dyersburg,Micropolitan Statistical Area,TN,"34,854","37,284","38,330","37,463"
Eagle Pass,Micropolitan Statistical Area,TX,"36,378","47,285","54,258","58,216"
Easton,Micropolitan Statistical Area,MD,"30,549","33,806","37,782","37,103"
East Stroudsburg,Metropolitan Statistical Area,PA,"95,681","138,615","169,838","168,046"
Eau Claire,Metropolitan Statistical Area,WI,"137,543","148,345","161,390","167,484"
Edwards,Micropolitan Statistical Area,CO,"21,928","41,623","52,197","54,772"
Effingham,Micropolitan Statistical Area,IL,"31,704","34,267","34,242","34,132"
El Campo,Micropolitan Statistical Area,TX,"39,955","41,191","41,280","41,968"
El Centro,Metropolitan Statistical Area,CA,"109,303","142,334","174,528","182,830"
El Dorado,Micropolitan Statistical Area,AR,"46,719","45,633","41,639","39,449"
Elizabeth City,Micropolitan Statistical Area,NC,"41,745","46,259","54,114","53,217"
Elizabethtown - Fort Knox,Metropolitan Statistical Area,KY,"125,089","133,981","148,351","150,430"
Elk City,Micropolitan Statistical Area,OK,"18,812","19,807","22,119","21,793"
Elkhart - Goshen,Metropolitan Statistical Area,IN,"156,198","182,793","197,561","205,032"
Elkins,Micropolitan Statistical Area,WV,"27,803","28,274","29,405","28,785"
Elko,Micropolitan Statistical Area,NV,"35,010","46,938","50,929","54,610"
Ellensburg,Micropolitan Statistical Area,WA,"26,725","33,369","40,906","46,205"
Elmira,Metropolitan Statistical Area,NY,"95,195","91,119","88,841","85,557"
El Paso,Metropolitan Statistical Area,TX,"594,525","682,917","804,123","844,818"
Emporia,Micropolitan Statistical Area,KS,"37,753","38,964","36,480","36,075"
Enid,Metropolitan Statistical Area,OK,"56,735","57,811","60,580","61,581"
Enterprise,Micropolitan Statistical Area,AL,"40,240","43,639","49,948","51,874"
Erie,Metropolitan Statistical Area,PA,"275,575","280,907","280,564","274,541"
Escanaba,Micropolitan Statistical Area,MI,"37,780","38,528","37,069","35,965"
Española,Micropolitan Statistical Area,NM,"34,365","41,171","40,234","39,159"
Eufaula,Micropolitan Statistical Area,AL-GA,"27,627","31,638","29,970","27,628"
Eugene - Springfield,Metropolitan Statistical Area,OR,"282,912","323,011","351,713","374,748"
Eureka - Arcata,Micropolitan Statistical Area,CA,"119,118","126,508","134,623","136,754"
Evanston,Micropolitan Statistical Area,WY,"18,705","19,745","21,118","20,495"
Evansville,Metropolitan Statistical Area,IN-KY,"278,990","296,236","311,554","315,669"
Fairbanks,Metropolitan Statistical Area,AK,"77,720","82,849","97,585","99,703"
Fairfield,Micropolitan Statistical Area,IA,"16,310","16,180","16,840","18,422"
Fairmont,Micropolitan Statistical Area,MN,"22,914","21,807","20,840","19,850"
Fairmont,Micropolitan Statistical Area,WV,"57,249","56,603","56,418","56,337"
Fallon,Micropolitan Statistical Area,NV,"17,938","23,984","24,877","24,230"
Fargo,Metropolitan Statistical Area,ND-MN,"153,296","174,398","208,777","241,356"
Faribault - Northfield,Micropolitan Statistical Area,MN,"49,183","56,663","64,142","65,968"
Farmington,Micropolitan Statistical Area,MO,"48,904","55,643","65,370","66,705"
Farmington,Metropolitan Statistical Area,NM,"91,605","113,812","130,045","126,926"
Fayetteville,Metropolitan Statistical Area,NC,"365,402","427,664","481,019","519,416"
Fayetteville - Springdale - Rogers (Northwest Arkansas),Metropolitan Statistical Area,AR,"222,557","325,356","440,127","514,635"
Fergus Falls,Micropolitan Statistical Area,MN,"50,714","57,083","57,303","58,345"
Fernley,Micropolitan Statistical Area,NV,"20,001","34,503","51,980","54,122"
Findlay,Micropolitan Statistical Area,OH,"65,536","71,303","74,789","75,754"
Fitzgerald,Micropolitan Statistical Area,GA,"16,245","17,498","17,634","16,996"
Flagstaff,Metropolitan Statistical Area,AZ,"96,591","116,320","134,435","140,776"
Flint,Metropolitan Statistical Area,MI,"430,459","436,213","425,788","407,385"
Florence,Metropolitan Statistical Area,SC,"176,195","193,153","205,571","205,831"
Florence - Muscle Shoals,Metropolitan Statistical Area,AL,"131,327","142,931","147,137","147,038"
Fond du Lac,Metropolitan Statistical Area,WI,"90,083","97,284","101,630","102,548"
Forest City,Micropolitan Statistical Area,NC,"56,956","62,923","67,816","66,551"
Forrest City,Micropolitan Statistical Area,AR,"28,497","29,330","28,254","25,930"
Fort Collins,Metropolitan Statistical Area,CO,"186,136","251,489","299,628","343,976"
Fort Dodge,Micropolitan Statistical Area,IA,"40,342","40,230","38,013","36,605"
Fort Leonard Wood,Micropolitan Statistical Area,MO,"41,307","41,170","52,274","52,059"
Fort Madison - Keokuk,Micropolitan Statistical Area,IA-IL-MO,"67,607","65,649","62,095","59,038"
Fort Morgan,Micropolitan Statistical Area,CO,"21,939","27,172","28,159","28,192"
Fort Payne,Micropolitan Statistical Area,AL,"54,651","64,436","71,115","71,617"
Fort Polk South,Micropolitan Statistical Area,LA,"61,961","52,539","52,334","50,726"
Fort Smith,Metropolitan Statistical Area,AR-OK,"190,808","225,071","248,276","250,245"
Fort Wayne,Metropolitan Statistical Area,IN,"328,487","362,476","388,618","406,633"
Frankfort,Micropolitan Statistical Area,IN,"30,974","33,879","33,223","32,317"
Frankfort,Micropolitan Statistical Area,KY,"58,714","66,796","70,704","73,029"
Fredericksburg,Micropolitan Statistical Area,TX,"17,204","20,806","24,837","26,646"
Freeport,Micropolitan Statistical Area,IL,"48,052","48,995","47,711","45,054"
Fremont,Micropolitan Statistical Area,NE,"34,500","36,150","36,685","36,707"
Fremont,Micropolitan Statistical Area,OH,"61,963","61,797","60,946","59,195"
Fresno,Metropolitan Statistical Area,CA,"667,479","798,766","930,495","989,255"
Gadsden,Metropolitan Statistical Area,AL,"99,840","103,448","104,427","102,755"
Gaffney,Micropolitan Statistical Area,SC,"44,506","52,532","55,467","57,105"
Gainesville,Metropolitan Statistical Area,FL,"217,175","266,841","305,077","325,042"
Gainesville,Metropolitan Statistical Area,GA,"95,434","139,615","179,697","199,335"
Gainesville,Micropolitan Statistical Area,TX,"30,777","36,370","38,430","39,895"
Galesburg,Micropolitan Statistical Area,IL,"56,393","55,842","52,919","50,638"
Gallup,Micropolitan Statistical Area,NM,"60,686","74,795","71,488","72,564"
Garden City,Micropolitan Statistical Area,KS,"37,097","45,042","40,762","41,044"
Gardnerville Ranchos,Micropolitan Statistical Area,NV,"27,637","41,245","46,997","48,309"
Georgetown,Micropolitan Statistical Area,SC,"46,302","55,823","60,158","61,607"
Gettysburg,Metropolitan Statistical Area,PA,"78,274","91,207","101,417","102,336"
Gillette,Micropolitan Statistical Area,WY,"41,182","46,234","60,424","60,579"
Glasgow,Micropolitan Statistical Area,KY,"42,964","48,070","52,272","53,908"
Glens Falls,Metropolitan Statistical Area,NY,"118,539","124,295","128,936","126,152"
Glenwood Springs,Micropolitan Statistical Area,CO,"42,635","58,675","73,537","77,008"
Gloversville,Micropolitan Statistical Area,NY,"54,191","55,053","55,523","53,877"
Goldsboro,Metropolitan Statistical Area,NC,"104,666","113,449","122,646","124,172"
Granbury,Micropolitan Statistical Area,TX,"28,981","40,987","51,168","58,273"
Grand Forks,Metropolitan Statistical Area,ND-MN,"103,272","97,489","98,464","102,414"
Grand Island,Metropolitan Statistical Area,NE,"63,044","68,327","72,736","75,838"
Grand Junction,Metropolitan Statistical Area,CO,"93,145","116,939","146,717","151,616"
